,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Birth Month
0,1,Max Aarons,ENG,DF,Bournemouth,24.0,2000.0,12.1,0.0,1.0,0.0,0.0,0.08,0.0,0.0,,23.9,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,Matches,May
1,2,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,21.0,2002.0,4.3,0.0,1.0,1.0,100.0,0.23,0.23,0.0,0.0,15.3,0.0,0.0,0.0,0.3,0.3,0.27,-0.3,-0.3,Matches,April
2,3,Tyler Adams,USA,MF,Bournemouth,25.0,1999.0,1.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,July
3,4,Tosin Adarabioyo,ENG,DF,Fulham,26.0,1997.0,16.0,2.0,14.0,5.0,35.7,0.88,0.31,0.14,0.4,14.2,0.0,0.0,0.0,0.7,0.7,0.05,1.3,1.3,Matches,February
4,5,Elijah Adebayo,ENG,FW,Luton Town,26.0,1998.0,12.9,9.0,28.0,12.0,42.9,2.17,0.93,0.32,0.75,9.5,0.0,0.0,0.0,5.6,5.6,0.2,3.4,3.4,Matches,June
5,6,Simon Adingra,CIV,FW,Brighton,22.0,2002.0,18.8,6.0,36.0,15.0,41.7,1.92,0.8,0.17,0.4,16.3,0.0,0.0,0.0,3.3,3.3,0.09,2.7,2.7,Matches,May
6,7,Nayef Aguerd,MAR,DF,West Ham,28.0,1996.0,19.6,1.0,14.0,3.0,21.4,0.71,0.15,0.07,0.33,10.8,0.0,0.0,0.0,1.5,1.5,0.11,-0.5,-0.5,Matches,August
7,8,Brandon Aguilera,CRC,FW,Nott'ham Forest,20.0,2003.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,November
8,9,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,22.0,2002.0,2.7,0.0,8.0,2.0,25.0,2.95,0.74,0.0,0.0,20.0,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,Matches,August
9,10,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,25.0,1999.0,23.4,1.0,16.0,4.0,25.0,0.68,0.17,0.06,0.25,12.5,0.0,0.0,0.0,2.6,2.6,0.16,-1.6,-1.6,Matches,August
